진료년도,표시과목,주상병코드,환자수,명세서 청구건수,요양급여비용총액,보험자부담금
2018,일반의,F04,22,66,999650,812550
2018,일반의,F05,193,502,13954640,10735010
2018,일반의,F06,53661,159997,3075854440,2483990260
2018,일반의,F07,678,1710,127114540,95049370
2018,일반의,F09,103,521,10869040,8412140
2018,일반의,F10,2388,10597,3071048300,2320789190
2018,일반의,F11,3,8,5635440,4018960
2018,일반의,F12,1,1,59340,41540
2018,일반의,F13,32,153,2830980,2189680
2018,일반의,F14,3,5,63970,56470
2018,일반의,F15,2,7,365920,264720
2018,일반의,F16,4,6,224290,177090
2018,일반의,F17,579,1094,15731280,11247280
2018,일반의,F18,4,4,154410,111310
2018,일반의,F19,22,52,3468080,2572670
2018,일반의,F20,4178,44828,6764910100,5554733700
2018,일반의,F21,24,261,10807370,9664270
2018,일반의,F22,284,2068,200949340,154976990
2018,일반의,F23,231,1490,144566920,111362040
2018,일반의,F24,1,1,29070,20370
2018,일반의,F25,420,5881,692957860,570912320
2018,일반의,F28,159,975,162518100,130223670
2018,일반의,F29,665,7307,624128630,503043210
2018,일반의,F30,133,624,22362640,16962180
2018,일반의,F31,6603,50711,3648808090,2768648550
2018,일반의,F32,48654,284467,13590969230,10322147560
2018,일반의,F33,6550,41216,1829873940,1375580110
2018,일반의,F34,2971,18297,770120310,582928590
2018,일반의,F38,2636,6577,198989780,150041080
2018,일반의,F39,1408,3595,79412000,62688100
2018,일반의,F40,3918,15762,635490700,481750520
2018,일반의,F41,85087,305352,9112199560,6950145350
2018,일반의,F42,1547,11591,602049610,451023350
2018,일반의,F43,9740,33211,1625371290,1239722700
2018,일반의,F44,104,345,19668150,14771150
2018,일반의,F45,10876,28397,737671870,563674030
2018,일반의,F48,19287,40431,888399930,673550370
2018,일반의,F50,2203,8429,438171850,338872010
2018,일반의,F51,69199,253644,5104429150,3903421430
2018,일반의,F52,1227,1812,21377160,15807160
2018,일반의,F53,9,41,2784460,2225660
2018,일반의,F54,198,277,4239860,3179160
2018,일반의,F55,5,11,137500,99400
2018,일반의,F59,562,988,13601760,10142060
2018,일반의,F60,126,703,76394890,56847750
2018,일반의,F62,9,38,28357630,21667410
2018,일반의,F63,321,1092,61818540,46482530
2018,일반의,F64,749,5270,84507890,60358890
2018,일반의,F65,34,205,10950270,8453970
2018,일반의,F66,53,122,2324530,1797330
2018,일반의,F68,9,15,571490,404990
2018,일반의,F69,3,13,689440,592140
2018,일반의,F70,655,3576,297642640,230462410
2018,일반의,F71,275,2010,136319920,103616560
2018,일반의,F72,165,1480,97620760,75108300
2018,일반의,F73,24,182,35219240,25901810
2018,일반의,F78,87,640,48640250,40526610
2018,일반의,F79,98,746,78223320,62594670
2018,일반의,F80,654,4632,285421370,253986310
2018,일반의,F81,78,388,15875250,12136250
2018,일반의,F82,11,78,1931540,1584040
2018,일반의,F83,25,1174,44687520,33797020
2018,일반의,F84,908,10009,661955580,535765510
2018,일반의,F88,6,6,93640,68840
2018,일반의,F89,34,77,4518600,3501100
2018,일반의,F90,6455,58760,2969823280,2233717850
2018,일반의,F91,240,1431,64793050,49274770
2018,일반의,F92,485,1801,96945050,77226440
2018,일반의,F93,513,2139,124029650,94026120
2018,일반의,F94,87,405,24061480,18696480
2018,일반의,F95,1238,7866,454930230,340014400
2018,일반의,F98,547,1533,147073670,117005730
2018,일반의,F99,550,3730,157738650,118009450
2018,일반의,G00,46,60,12961380,11300950
2018,일반의,G02,12,19,681260,502460
2018,일반의,G03,204,251,20739030,18006130
2018,일반의,G04,63,435,31086550,26205350
2018,일반의,G05,1085,1384,26893780,19676730
2018,일반의,G06,12,21,3852000,2893520
2018,일반의,G08,2,3,46390,34690
2018,일반의,G09,5,78,1152330,909330
2018,일반의,G10,4,20,945890,764590
2018,일반의,G11,71,1112,60533220,52849100
2018,일반의,G12,135,2038,71222250,62416840
2018,일반의,G13,11,19,368590,336590
2018,일반의,G14,70,243,4690780,3563980
2018,일반의,G20,4216,24098,634645940,554127550
2018,일반의,G21,605,2213,48008640,38852250
2018,일반의,G22,233,1080,18947280,15472080
2018,일반의,G23,67,239,7740720,6184120
2018,일반의,G24,2951,4823,92525380,70357680
2018,일반의,G25,11590,30245,622078280,479030360
2018,일반의,G26,15,26,485630,383130
2018,일반의,G30,1737,8109,134886050,106326050
2018,일반의,G31,60287,172922,2645339660,2184125640
2018,일반의,G32,111,320,4709620,3824920
2018,일반의,G35,60,812,15283800,13601500
2018,일반의,G36,12,51,1016230,896430
2018,일반의,G37,58,488,21775420,16319680
2018,일반의,G40,5254,27788,779320760,624409630
2018,일반의,G41,358,2195,73757180,65634740
2018,일반의,G43,94131,178374,3167130970,2344321340
2018,일반의,G44,84648,141642,3401104070,2502533470
2018,일반의,G45,2911,8465,203304930,159131230
2018,일반의,G46,999,3073,108057170,82941710
2018,일반의,G47,174477,541748,11963146090,9338538060
2018,일반의,G50,8179,22482,565200830,426160720
2018,일반의,G51,4145,13256,302744180,222943040
2018,일반의,G52,265,505,13077720,9918040
2018,일반의,G53,38247,130444,2434570430,1934761560
2018,일반의,G54,5636,17047,928881630,689253360
2018,일반의,G55,1909,7905,319686710,235403970
2018,일반의,G56,25819,62155,2259540120,1631683090
2018,일반의,G57,22761,70431,2588487220,1880437200
2018,일반의,G58,11991,25398,851278620,628624570
2018,일반의,G59,617,1593,26625580,21103840
2018,일반의,G60,31,406,14737130,13509730
2018,일반의,G61,103,921,37817540,32749260
2018,일반의,G62,1473,4335,105183580,80907830
2018,일반의,G63,3980,14142,285627600,226774020
2018,일반의,G64,3838,7830,153872840,119331640
2018,일반의,G70,180,782,14668360,12826680
2018,일반의,G71,184,3645,149638220,135174270
2018,일반의,G72,144,174,3627430,2864030
2018,일반의,G73,52,74,1221560,911960
2018,일반의,G80,1381,62927,4341417090,3671470440
2018,일반의,G81,1123,18942,1063465620,807533380
2018,일반의,G82,347,6694,368559270,286156350
2018,일반의,G83,390,1388,52691760,41219160
2018,일반의,G90,2992,5516,134491320,100333240
2018,일반의,G91,272,962,42464880,33982530
2018,일반의,G93,1343,3975,219515810,179741830
2018,일반의,G94,9,81,905060,782060
2018,일반의,G95,993,4047,89091720,67606140
2018,일반의,G96,70,271,11496960,9365860
2018,일반의,G97,6,8,353860,289120
2018,일반의,G98,64,104,3551280,2559680
2018,일반의,G99,749,1688,29730700,23057450
2018,일반의,H00,79975,107548,1955556380,1408387090
2018,일반의,H01,33215,41373,654018580,485752750
2018,일반의,H02,8050,19641,616766080,458195390
2018,일반의,H03,870,1972,41284550,32634300
